transaction_id,user_id,timestamp,amount,transaction_type,country,device_type,is_fraud
TXN00010893,USER01083,2026-07-29 00:28:01.808985,169.54,NETBANKING,IN,tablet,1
TXN00014660,USER01254,2026-07-29 01:09:38.808985,4343.844413955603,UPI,IN,unknown,1
TXN00015931,USER01740,2026-07-29 02:09:03.808985,693.82,NETBANKING,RU,desktop,1
TXN00012697,USER00259,2026-07-29 02:11:32.808985,3196.5605504859664,WALLET,US,unknown,1
TXN00002880,USER00346,2026-07-29 02:17:11.808985,293.62,WALLET,IN,unknown,1
TXN00006772,USER01223,2026-07-29 02:36:14.808985,1052.3,UPI,GB,tablet,1
TXN00011764,USER00307,2026-07-29 03:19:58.808985,764.61,NETBANKING,NG,unknown,1
TXN00009881,USER01905,2026-07-29 08:53:03.808985,348.37,WALLET,IN,tablet,0
TXN00019024,USER01370,2026-07-29 08:56:35.808985,724.46,UPI,IN,desktop,0
TXN00012701,USER01018,2026-07-29 08:56:39.808985,714.41,UPI,IN,tablet,0
TXN00015965,USER01248,2026-07-29 08:58:22.808985,801.8,CARD,US,tablet,0
TXN00006276,USER01936,2026-07-29 08:58:22.808985,1199.19,UPI,US,tablet,0
TXN00010954,USER00569,2026-07-29 08:58:53.808985,76.85,CARD,US,tablet,0
TXN00016275,USER01411,2026-07-29 09:01:41.808985,786.07,WALLET,GB,mobile,0
TXN00003951,USER01850,2026-07-29 09:05:17.808985,305.35,CARD,GB,desktop,0
TXN00010529,USER01259,2026-07-29 09:07:17.808985,1458.98,WALLET,IN,desktop,0
TXN00008110,USER01792,2026-07-29 09:09:39.808985,1228.61,WALLET,US,desktop,0
TXN00009876,USER00220,2026-07-29 09:11:19.808985,135.18,UPI,IN,tablet,0
TXN00003083,USER01342,2026-07-29 09:12:28.808985,197.66,CARD,IN,tablet,0
TXN00019843,USER00239,2026-07-29 09:14:55.808985,709.64,CARD,IN,mobile,0
TXN00000294,USER01123,2026-07-29 09:20:46.808985,55.7,WALLET,IN,mobile,0
TXN00012272,USER01832,2026-07-29 09:22:04.808985,210.29,CARD,GB,mobile,0
TXN00011460,USER00335,2026-07-29 09:24:52.808985,723.07,CARD,IN,desktop,0
TXN00017515,USER00465,2026-07-29 09:25:17.808985,1123.6,UPI,IN,desktop,0
TXN00013405,USER01646,2026-07-29 09:29:18.808985,1112.46,CARD,US,desktop,0
TXN00015250,USER00928,2026-07-29 09:32:17.808985,1042.41,WALLET,US,mobile,0
TXN00000094,USER01882,2026-07-29 09:32:22.808985,225.25,NETBANKING,IN,tablet,0
TXN00010357,USER00279,2026-07-29 09:32:28.808985,168.89,NETBANKING,US,tablet,0
TXN00009981,USER01467,2026-07-29 09:34:04.808985,199.93,WALLET,GB,desktop,0
TXN00014059,USER00097,2026-07-29 09:36:34.808985,1162.48,UPI,IN,desktop,0
TXN00007330,USER00722,2026-07-29 09:37:15.808985,1007.22,UPI,US,tablet,0
TXN00017382,USER01833,2026-07-29 09:38:43.808985,119.55,NETBANKING,US,mobile,0
TXN00002201,USER00979,2026-07-29 09:40:10.808985,259.0,UPI,IN,tablet,0
TXN00003392,USER00930,2026-07-29 09:42:43.808985,1287.72,NETBANKING,IN,desktop,0
TXN00008912,USER01658,2026-07-29 09:42:50.808985,716.77,NETBANKING,IN,tablet,0
TXN00004149,USER00305,2026-07-29 09:53:03.808985,325.28,UPI,IN,desktop,0
TXN00017732,USER01690,2026-07-29 09:56:19.808985,217.23,CARD,SG,mobile,0
TXN00013842,USER01715,2026-07-29 09:59:30.808985,170.06,CARD,US,mobile,0
TXN00018373,USER00999,2026-07-29 10:00:49.808985,101.82,WALLET,IN,desktop,0
TXN00007264,USER01195,2026-07-29 10:02:45.808985,514.03,WALLET,US,tablet,0
TXN00012733,USER01997,2026-07-29 10:04:06.808985,1139.58,CARD,US,tablet,0
TXN00017856,USER00407,2026-07-29 10:09:03.808985,306.9,UPI,SG,mobile,0
TXN00012978,USER00259,2026-07-29 10:09:06.808985,151.6,WALLET,US,desktop,0
TXN00014733,USER01983,2026-07-29 10:11:17.808985,891.65,NETBANKING,IN,tablet,0
TXN00000571,USER01690,2026-07-29 10:12:51.808985,313.8,CARD,SG,mobile,0
TXN00003009,USER01105,2026-07-29 10:16:18.808985,888.9,WALLET,IN,mobile,0
TXN00006646,USER00291,2026-07-29 10:17:00.808985,838.44,CARD,IN,mobile,0
TXN00013028,USER00333,2026-07-29 10:17:37.808985,1066.27,UPI,IN,desktop,0
TXN00014398,USER01120,2026-07-29 10:17:51.808985,100.15,NETBANKING,IN,desktop,0
TXN00011968,USER01660,2026-07-29 10:18:48.808985,232.16,UPI,IN,mobile,0
TXN00002248,USER01476,2026-07-29 10:21:57.808985,471.71,CARD,IN,desktop,0
TXN00004350,USER01442,2026-07-29 10:27:43.808985,1591.89,WALLET,SG,mobile,0
TXN00013303,USER00357,2026-07-29 10:31:57.808985,933.7,CARD,US,tablet,0
TXN00010815,USER01020,2026-07-29 10:33:56.808985,345.68,CARD,IN,tablet,0
TXN00015992,USER01043,2026-07-29 10:34:09.808985,196.2,CARD,US,tablet,0
TXN00010897,USER00699,2026-07-29 10:34:29.808985,650.58,CARD,IN,mobile,0
TXN00013752,USER01516,2026-07-29 10:37:47.808985,106.1,NETBANKING,SG,mobile,0
TXN00003780,USER00397,2026-07-29 10:42:54.808985,338.98,WALLET,IN,tablet,0
TXN00012616,USER00578,2026-07-29 10:43:14.808985,185.26,NETBANKING,US,tablet,0
TXN00008320,USER01686,2026-07-29 10:43:39.808985,289.11,CARD,IN,tablet,0
TXN00019313,USER01846,2026-07-29 10:44:58.808985,337.94,CARD,IN,mobile,0
TXN00006161,USER01182,2026-07-29 10:49:44.808985,332.06,NETBANKING,SG,desktop,0
TXN00002229,USER01493,2026-07-29 10:58:04.808985,1015.77,UPI,IN,desktop,0
TXN00019543,USER00910,2026-07-29 11:03:53.808985,743.38,NETBANKING,IN,desktop,0
TXN00013904,USER01127,2026-07-29 11:05:59.808985,1105.31,WALLET,IN,mobile,0
TXN00009924,USER01660,2026-07-29 11:08:36.808985,308.93,UPI,IN,mobile,0
TXN00005461,USER01324,2026-07-29 11:15:31.808985,182.16,NETBANKING,IN,tablet,0
TXN00010518,USER00106,2026-07-29 11:18:18.808985,255.92,WALLET,IN,mobile,0
TXN00012563,USER01821,2026-07-29 11:20:04.808985,223.81,WALLET,IN,desktop,0
